event_type,timestamp,trade_id,strategy,symbol,option_type,strike,expiry,lots,quantity,entry_time,entry_price,entry_spot,exit_time,exit_price,gross_pnl,charges,net_pnl,pnl_pct,exit_reason,hold_min,signal_reason
ENTRY,2026-06-03 13:11:38,8d4bf84b-b57a-4cfd-8893-004d3196dbe6,DailyMomentumDrive,NIFTY09JUN2623350PE,PE,23350,2026-06-09,1,75,13:11:38,201.40,23361.30,,,,,,,,,DMD_MIDDAY_MOMENTUM
ENTRY,2026-06-03 13:44:02,e600e52a-14fa-45bc-a101-e6393717c9c2,DailyMomentumDrive,NIFTY09JUN2623450CE,CE,23450,2026-06-09,1,75,13:44:02,169.10,23429.80,,,,,,,,,DMD_MIDDAY_MOMENTUM
EXIT,2026-06-03 13:44:17,e600e52a-14fa-45bc-a101-e6393717c9c2,DailyMomentumDrive,NIFTY09JUN2623450CE,CE,23450,2026-06-09,1,75,13:44:02,169.10,23429.80,13:44:17,169.11,0.75,69.84,-69.09,0.0,UNDERLYING_STOP,0.2,DMD_MIDDAY_MOMENTUM
EXIT,2026-06-03 13:44:00,8d4bf84b-b57a-4cfd-8893-004d3196dbe6,DailyMomentumDrive,NIFTY09JUN2623350PE,PE,23350,2026-06-09,1,75,13:11:38,201.40,23361.30,13:44:00,196.4,-375.0,0,-375.0,-0.0248,UNDERLYING_STOP,32.4,DMD_MIDDAY_MOMENTUM
