event_type,timestamp,trade_id,strategy,symbol,option_type,strike,expiry,lots,quantity,entry_time,entry_price,entry_spot,exit_time,exit_price,gross_pnl,charges,net_pnl,pnl_pct,exit_reason,hold_min,signal_reason
ENTRY,2026-06-10 09:41:03,afb63f53-abf1-44f4-87bf-c279457a5152,PDHPDLRetest,NIFTY16JUN2623350CE,CE,23350,2026-06-16,1,65,09:41:02,193.90,23369.00,,,,,,,,,PDH_PDL_RETEST
EXIT,2026-06-10 09:43:48,afb63f53-abf1-44f4-87bf-c279457a5152,PDHPDLRetest,NIFTY16JUN2623350CE,CE,23350,2026-06-16,1,65,09:41:02,193.90,23369.00,09:43:48,192.66,-80.60,69.60,-150.20,-0.6,UNDERLYING_TARGET,2.8,PDH_PDL_RETEST
ENTRY,2026-06-10 09:43:54,32a06e52-9385-4f6c-ab3a-1a881f06e859,DailyMomentumDrive,NIFTY16JUN2623400CE,CE,23400,2026-06-16,1,75,09:43:53,174.25,23386.00,,,,,,,,,DMD_ORB_BREAKOUT
ENTRY,2026-06-10 09:43:54,adca40c5-8472-4817-9a18-e7959498d89b,MaxPainConvergence,NIFTY16JUN2623400CE,CE,23400,2026-06-16,1,75,09:43:54,174.25,23386.00,,,,,,,,,MAX_PAIN_CONVERGENCE
EXIT,2026-06-10 09:44:39,32a06e52-9385-4f6c-ab3a-1a881f06e859,DailyMomentumDrive,NIFTY16JUN2623400CE,CE,23400,2026-06-16,1,75,09:43:53,174.25,23386.00,09:44:39,173.50,-56.25,70.46,-126.71,-0.4,UNDERLYING_STOP,0.8,DMD_ORB_BREAKOUT
EXIT,2026-06-10 09:44:40,adca40c5-8472-4817-9a18-e7959498d89b,MaxPainConvergence,NIFTY16JUN2623400CE,CE,23400,2026-06-16,1,75,09:43:54,174.25,23386.00,09:44:39,173.65,-45.00,70.47,-115.47,-0.3,UNDERLYING_STOP,0.8,MAX_PAIN_CONVERGENCE
