event_type,timestamp,trade_id,strategy,symbol,option_type,strike,expiry,lots,quantity,entry_time,entry_price,entry_spot,exit_time,exit_price,gross_pnl,charges,net_pnl,pnl_pct,exit_reason,hold_min,signal_reason
ENTRY,2026-06-04 10:38:50,340b3be1-524d-4e13-b01b-1ec7e73ba278,DailyMomentumDrive,NIFTY09JUN2623450PE,PE,23450,2026-06-09,1,75,10:38:50,185.55,23446.90,,,,,,,,,DMD_VWAP_MOMENTUM
EXIT,2026-06-04 10:39:15,340b3be1-524d-4e13-b01b-1ec7e73ba278,DailyMomentumDrive,NIFTY09JUN2623450PE,PE,23450,2026-06-09,1,75,10:38:50,185.55,23446.90,10:39:15,184.23,-99.00,71.93,-170.93,-0.7,UNDERLYING_STOP,0.4,DMD_VWAP_MOMENTUM
